Date,DateKey
8/15/2016,42597
8/16/2016,42598
8/17/2016,42599
8/18/2016,42600
8/19/2016,42601
8/20/2016,42602
8/21/2016,42603
8/22/2016,42604
8/23/2016,42605
8/24/2016,42606
8/25/2016,42607
8/26/2016,42608
8/27/2016,42609
8/28/2016,42610
8/29/2016,42611
8/30/2016,42612
8/31/2016,42613
9/1/2016,42614
9/2/2016,42615
9/3/2016,42616
9/4/2016,42617
9/5/2016,42618
9/6/2016,42619
9/7/2016,42620
9/8/2016,42621
9/9/2016,42622
9/10/2016,42623
9/11/2016,42624
9/12/2016,42625
9/13/2016,42626
9/14/2016,42627
9/15/2016,42628
9/16/2016,42629
9/17/2016,42630
9/18/2016,42631
9/19/2016,42632
9/20/2016,42633
9/21/2016,42634
9/22/2016,42635
9/23/2016,42636
9/24/2016,42637
9/25/2016,42638
9/26/2016,42639
9/27/2016,42640
9/28/2016,42641
9/29/2016,42642
9/30/2016,42643
10/1/2016,42644
10/2/2016,42645
10/3/2016,42646
10/4/2016,42647
10/5/2016,42648
10/6/2016,42649
10/7/2016,42650
10/8/2016,42651
10/9/2016,42652
10/10/2016,42653
10/11/2016,42654
10/12/2016,42655
10/13/2016,42656
10/14/2016,42657
10/15/2016,42658
10/16/2016,42659
10/17/2016,42660
10/18/2016,42661
10/19/2016,42662
10/20/2016,42663
10/21/2016,42664
10/22/2016,42665
10/23/2016,42666
10/24/2016,42667
10/25/2016,42668
10/26/2016,42669
10/27/2016,42670
10/28/2016,42671
10/29/2016,42672
10/30/2016,42673
10/31/2016,42674
11/1/2016,42675
11/2/2016,42676
11/3/2016,42677
11/4/2016,42678
11/5/2016,42679
11/6/2016,42680
11/7/2016,42681
11/8/2016,42682
11/9/2016,42683
11/10/2016,42684
11/11/2016,42685
11/12/2016,42686
11/13/2016,42687
11/14/2016,42688
11/15/2016,42689
11/16/2016,42690
11/17/2016,42691
11/18/2016,42692
11/19/2016,42693
11/20/2016,42694
11/21/2016,42695
11/22/2016,42696
11/23/2016,42697
11/24/2016,42698
11/25/2016,42699
11/26/2016,42700
11/27/2016,42701
11/28/2016,42702
11/29/2016,42703
11/30/2016,42704
12/1/2016,42705
12/2/2016,42706
12/3/2016,42707
12/4/2016,42708
12/5/2016,42709
12/6/2016,42710
12/7/2016,42711
12/8/2016,42712
12/9/2016,42713
12/10/2016,42714
12/11/2016,42715
12/12/2016,42716
12/13/2016,42717
12/14/2016,42718
12/15/2016,42719
12/16/2016,42720
12/17/2016,42721
12/18/2016,42722
12/19/2016,42723
12/20/2016,42724
12/21/2016,42725
12/22/2016,42726
12/23/2016,42727
12/24/2016,42728
12/25/2016,42729
12/26/2016,42730
12/27/2016,42731
12/28/2016,42732
12/29/2016,42733
12/30/2016,42734
12/31/2016,42735
1/1/2017,42736
1/2/2017,42737
1/3/2017,42738
1/4/2017,42739
1/5/2017,42740
1/6/2017,42741
1/7/2017,42742
1/8/2017,42743
1/9/2017,42744
1/10/2017,42745
1/11/2017,42746
1/12/2017,42747
1/13/2017,42748
1/14/2017,42749
1/15/2017,42750
1/16/2017,42751
1/17/2017,42752
1/18/2017,42753
1/19/2017,42754
1/20/2017,42755
1/21/2017,42756
1/22/2017,42757
1/23/2017,42758
1/24/2017,42759
1/25/2017,42760
1/26/2017,42761
1/27/2017,42762
1/28/2017,42763
1/29/2017,42764
1/30/2017,42765
1/31/2017,42766
2/1/2017,42767
2/2/2017,42768
2/3/2017,42769
2/4/2017,42770
2/5/2017,42771
2/6/2017,42772
2/7/2017,42773
2/8/2017,42774
2/9/2017,42775
2/10/2017,42776
2/11/2017,42777
2/12/2017,42778
2/13/2017,42779
2/14/2017,42780
2/15/2017,42781
2/16/2017,42782
2/17/2017,42783
2/18/2017,42784
2/19/2017,42785
2/20/2017,42786
2/21/2017,42787
2/22/2017,42788
2/23/2017,42789
2/24/2017,42790
2/25/2017,42791
2/26/2017,42792
2/27/2017,42793
2/28/2017,42794
3/1/2017,42795
3/2/2017,42796
3/3/2017,42797
3/4/2017,42798
3/5/2017,42799
3/6/2017,42800
3/7/2017,42801
3/8/2017,42802
3/9/2017,42803
3/10/2017,42804
3/11/2017,42805
3/12/2017,42806
3/13/2017,42807
3/14/2017,42808
3/15/2017,42809
3/16/2017,42810
3/17/2017,42811
3/18/2017,42812
3/19/2017,42813
3/20/2017,42814
3/21/2017,42815
3/22/2017,42816
3/23/2017,42817
3/24/2017,42818
3/25/2017,42819
3/26/2017,42820
3/27/2017,42821
3/28/2017,42822
3/29/2017,42823
3/30/2017,42824
3/31/2017,42825
4/1/2017,42826
4/2/2017,42827
4/3/2017,42828
4/4/2017,42829
4/5/2017,42830
4/6/2017,42831
4/7/2017,42832
4/8/2017,42833
4/9/2017,42834
4/10/2017,42835
4/11/2017,42836
4/12/2017,42837
4/13/2017,42838
4/14/2017,42839
4/15/2017,42840
4/16/2017,42841
4/17/2017,42842
4/18/2017,42843
4/19/2017,42844
4/20/2017,42845
4/21/2017,42846
4/22/2017,42847
4/23/2017,42848
4/24/2017,42849
4/25/2017,42850
4/26/2017,42851
4/27/2017,42852
4/28/2017,42853
4/29/2017,42854
4/30/2017,42855
5/1/2017,42856
5/2/2017,42857
5/3/2017,42858
5/4/2017,42859
5/5/2017,42860
5/6/2017,42861
5/7/2017,42862
5/8/2017,42863
5/9/2017,42864
5/10/2017,42865
5/11/2017,42866
5/12/2017,42867
5/13/2017,42868
5/14/2017,42869
5/15/2017,42870
5/16/2017,42871
5/17/2017,42872
5/18/2017,42873
5/19/2017,42874
5/20/2017,42875
5/21/2017,42876
5/22/2017,42877
5/23/2017,42878
5/24/2017,42879
5/25/2017,42880
5/26/2017,42881
5/27/2017,42882
5/28/2017,42883
5/29/2017,42884
5/30/2017,42885
5/31/2017,42886
6/1/2017,42887
6/2/2017,42888
6/3/2017,42889
6/4/2017,42890
6/5/2017,42891
6/6/2017,42892
6/7/2017,42893
6/8/2017,42894
6/9/2017,42895
6/10/2017,42896
6/11/2017,42897
6/12/2017,42898
6/13/2017,42899
6/14/2017,42900
6/15/2017,42901
6/16/2017,42902
6/17/2017,42903
6/18/2017,42904
6/19/2017,42905
6/20/2017,42906
6/21/2017,42907
6/22/2017,42908
6/23/2017,42909
6/24/2017,42910
6/25/2017,42911
6/26/2017,42912
6/27/2017,42913
6/28/2017,42914
6/29/2017,42915
6/30/2017,42916
